ResponseId,Age,Country,EdLevel,RecordType,TechCategory,TechType,TechValue
10088,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Technology,Worked,Language,JavaScript
30742,25-34 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,SQLite
46194,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,OCaml
61011,35-44 years old,Sweden,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Language,Bash/Shell (all shells)
888,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Amazon Web Services (AWS)
32723,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Python
25849,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Scala
33468,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,Amazon Web Services (AWS)
9395,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,H2
28022,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,SQLite
15270,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Rust
3570,25-34 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Amazon Web Services (AWS)
1672,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,PostgreSQL
32305,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,SQL
39413,45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,C#
14960,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,SQL
46756,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Microsoft Azure
11370,45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,C#
25360,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,VMware
14900,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,HTML/CSS
31213,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,"Linode, now Akamai"
1489,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,HTML/CSS
36411,25-34 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Language,JavaScript
58372,35-44 years old,Poland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,Clickhouse
8809,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Rust
1899,35-44 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Platform,Amazon Web Services (AWS)
5050,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,PowerShell
8090,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,PostgreSQL
50449,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Amazon Web Services (AWS)
52771,45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,HTML/CSS
46336,45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Microsoft Azure
22825,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Erlang
22127,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Python
19268,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Google Cloud
45723,35-44 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Database,Cloud Firestore
24105,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,Databricks SQL
10060,35-44 years old,Netherlands,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,JavaScript
42987,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,Elasticsearch
32627,35-44 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Python
51961,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Microsoft Azure
13994,18-24 years old,Italy,Some college/university study without earning a degree,Technology,Want,Language,Kotlin
47767,25-34 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Rust
57223,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Technology,Worked,Platform,OVH
13434,25-34 years old,Poland,Some college/university study without earning a degree,Demographics,,,
22311,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,JavaScript
1126,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,JavaScript
41321,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,SQLite
7022,45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Go
8563,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,PostgreSQL
60045,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,Microsoft SQL Server
16989,18-24 years old,Germany,"Associate degree (A.A., A.S., etc.)",Technology,Want,Platform,Microsoft Azure
1870,35-44 years old,Portugal,Some college/university study without earning a degree,Technology,Want,Language,JavaScript
53342,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,MariaDB
21444,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Amazon Web Services (AWS)
3009,25-34 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Platform,Firebase
17902,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,SQLite
37685,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,MongoDB
4619,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,JavaScript
50302,25-34 years old,Switzerland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Language,Java
20449,18-24 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Digital Ocean
2032,45-54 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,JavaScript
4784,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,MySQL
1349,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,SQLite
25209,18-24 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Bash/Shell (all shells)
30134,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Amazon Web Services (AWS)
57052,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Go
48464,25-34 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Platform,Vercel
22258,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Amazon Web Services (AWS)
22522,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,Redis
46756,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,SQLite
61766,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Scala
7219,25-34 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Platform,Amazon Web Services (AWS)
17961,25-34 years old,Australia,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,HTML/CSS
5013,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,PostgreSQL
51550,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Platform,Databricks
15059,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,SQLite
30428,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,MongoDB
54301,35-44 years old,Sweden,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,Redis
24902,25-34 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,Google Cloud
55642,35-44 years old,United States of America,"Associate degree (A.A., A.S., etc.)",Technology,Worked,Database,MySQL
46177,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Language,Kotlin
19352,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Microsoft Azure
51505,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Google Cloud
42042,45-54 years old,United States of America,Some college/university study without earning a degree,Technology,Worked,Database,Snowflake
17689,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,JavaScript
13163,35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Platform,Microsoft Azure
38617,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,Digital Ocean
17682,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,Technology,Want,Language,Lua
47374,25-34 years old,Denmark,"Associate degree (A.A., A.S., etc.)",Technology,Worked,Platform,Managed Hosting
19087,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,MySQL
5053,45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,PostgreSQL
48399,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,C++
39927,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Zig
43403,45-54 years old,United States of America,Some college/university study without earning a degree,Technology,Want,Database,MongoDB
2501,25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Bash/Shell (all shells)
59959,35-44 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,JavaScript
48234,25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,PostgreSQL
33178,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,SQLite
11412,35-44 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,MongoDB
56548,25-34 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Language,Python
7054,35-44 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Language,Java
15535,25-34 years old,Greece,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Go
20622,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Microsoft Azure
1349,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,Amazon Web Services (AWS)
13358,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Crystal
53545,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,"Linode, now Akamai"
10536,25-34 years old,Croatia,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,PostgreSQL
25360,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Go
56223,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Python
22208,25-34 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,JavaScript
14224,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,DuckDB
2832,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,Digital Ocean
19374,35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Database,PostgreSQL
4802,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,Clickhouse
4782,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Heroku
41785,18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,PowerShell
21690,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,HTML/CSS
9560,35-44 years old,India,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Language,Python
39683,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,PostgreSQL
29814,18-24 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Go
61259,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,PostgreSQL
30944,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Nim
22179,25-34 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,DuckDB
54759,18-24 years old,Austria,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,MySQL
14349,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Amazon Web Services (AWS)
55855,45-54 years old,United States of America,Some college/university study without earning a degree,Technology,Worked,Language,JavaScript
58603,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,Redis
53878,35-44 years old,United States of America,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,PostgreSQL
48170,35-44 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,Oracle
6638,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Rust
43209,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Ruby
19893,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,Microsoft Azure
17659,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Java
60259,35-44 years old,Brazil,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Platform,Databricks
14168,35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,BigQuery
32522,55-64 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,SQLite
47297,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,MySQL
2286,25-34 years old,Switzerland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,Redis
39869,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,SQLite
31258,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,SQLite
6269,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Microsoft Azure
19470,45-54 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,C#
55712,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,JavaScript
9093,18-24 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Python
51276,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Database,PostgreSQL
11973,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,TypeScript
14577,35-44 years old,Ukraine,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,HTML/CSS
20886,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,Python
30767,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,JavaScript
33665,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,HTML/CSS
42899,25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,OCaml
11367,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Python
39342,18-24 years old,France,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Language,Lua
4985,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,Microsoft SQL Server
22040,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,C#
45480,25-34 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Language,C#
862,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Platform,Fly.io
29530,25-34 years old,Iceland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Python
45325,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,HTML/CSS
21372,25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,MongoDB
19585,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Bash/Shell (all shells)
59442,35-44 years old,Germany,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Database,Elasticsearch
18601,25-34 years old,Sweden,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Worked,Language,JavaScript
4782,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,HTML/CSS
55164,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Language,Ruby
23218,25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Database,PostgreSQL
41061,35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,Microsoft SQL Server
4228,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Worked,Database,PostgreSQL
32980,25-34 years old,Romania,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Technology,Want,Language,Bash/Shell (all shells)
7979,25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Technology,Want,Language,TypeScript
